strategy,N,start_date,end_date,ann_return,ann_vol,ann_sharpe,cum_return,max_drawdown,avg_weight,turnover,CEQ_gamma3_ann,crisis,sop_signal_direction,vix_level_mean
A: SOP + Markowitz,3,2020-02-29,2020-04-30,-0.4680619158009648,,,-0.14598544744353747,-0.18359550000000002,1.5,0.0,,COVID,1.0,37.49666666666667
B: SOP + vol-managed,3,2020-02-29,2020-04-30,-0.5224171915009739,,,-0.16869159538488898,-0.09538225888582541,0.8863219988739592,0.5625,,COVID,1.0,37.49666666666667
C: VIX-SOP + Markowitz,3,2020-02-29,2020-04-30,-0.4680619158009648,,,-0.14598544744353747,-0.18359550000000002,1.5,0.0,,COVID,1.0,37.49666666666667
D: VIX-SOP + vol-managed,3,2020-02-29,2020-04-30,-0.5224171915009739,,,-0.16869159538488898,-0.09538225888582541,0.8863219988739592,0.5625,,COVID,1.0,37.49666666666667
Historical mean + Markowitz,3,2020-02-29,2020-04-30,-0.4680619158009648,,,-0.14598544744353747,-0.18359550000000002,1.5,0.0,,COVID,1.0,37.49666666666667
Buy-and-hold equity,3,2020-02-29,2020-04-30,-0.31419060234370155,,,-0.08998016586968616,-0.12199700000000002,1.0,0.0,,COVID,1.0,37.49666666666667
A: SOP + Markowitz,10,2022-01-31,2022-10-31,-0.31735055947793234,,,-0.27250259443963365,-0.28735813590577586,1.4575209779453902,0.032753659962873,,Inflation shock,1.0,25.988
B: SOP + vol-managed,10,2022-01-31,2022-10-31,-0.25881048485072966,,,-0.2208739545598557,-0.19560148999070226,0.9382541067235228,0.2535538400818147,,Inflation shock,1.0,25.988
C: VIX-SOP + Markowitz,10,2022-01-31,2022-10-31,-0.31146036099713015,,,-0.26727537115920896,-0.29697338624800984,1.5,0.0,,Inflation shock,1.0,25.988
D: VIX-SOP + vol-managed,10,2022-01-31,2022-10-31,-0.2576961902326059,,,-0.2198979701927909,-0.20360884736422868,0.9634522177438691,0.2377633545033046,,Inflation shock,1.0,25.988
Historical mean + Markowitz,10,2022-01-31,2022-10-31,-0.30705274643338865,,,-0.2633687342899713,-0.26628996514194414,1.374816746372948,0.058568387987126456,,Inflation shock,1.0,25.988
Buy-and-hold equity,10,2022-01-31,2022-10-31,-0.20666066253810333,,,-0.1754522246158955,-0.20064219744284417,1.0,0.0,,Inflation shock,1.0,25.988
A: SOP + Markowitz,13,2020-02-29,2022-10-31,-0.35553850806421383,0.4090563563789161,-0.8905632491479788,-0.3787066287043762,-0.35346523107566485,1.4673238291887616,0.02456524497215475,-0.6152812118624333,All fixed crisis months,1.0,28.643846153846148
B: SOP + vol-managed,13,2020-02-29,2022-10-31,-0.33030061195618343,0.21616702196537785,-1.7659924595812355,-0.3523059701710731,-0.2969355791286086,0.9262697741428544,0.37766538006136113,-0.45184160287905883,All fixed crisis months,1.0,28.643846153846148
C: VIX-SOP + Markowitz,13,2020-02-29,2022-10-31,-0.3512652930922051,0.4195430354662906,-0.8437234747536385,-0.3742425039534316,-0.3621885379305987,1.5,0.0,-0.6180028456047115,All fixed crisis months,1.0,28.643846153846148
D: VIX-SOP + vol-managed,13,2020-02-29,2022-10-31,-0.32952627137629376,0.2237147258402403,-1.69450512569482,-0.3514946261639591,-0.303934209788011,0.9456529364661977,0.36582251587747844,-0.4541581674663594,All fixed crisis months,1.0,28.643846153846148
Historical mean + Markowitz,13,2020-02-29,2022-10-31,-0.3480731791543684,0.39468151339784857,-0.9080107131655611,-0.370906179215549,-0.3343514158442721,1.403705189517652,0.04392629099034484,-0.5920352879806678,All fixed crisis months,1.0,28.643846153846148
Buy-and-hold equity,13,2020-02-29,2022-10-31,-0.23288309594830914,0.27958272864973394,-0.8440633640040949,-0.24964517021243815,-0.24344591744685862,1.0,0.0,-0.35323529170038465,All fixed crisis months,1.0,28.643846153846148
A: SOP + Markowitz,28,2010-06-30,2022-11-30,0.2738127577134788,0.3309070313101669,0.8819560731141689,0.7589212122855582,-0.18359550000000002,1.363975120981305,0.06101099138785658,0.1275962708444205,VIX>25 months,1.0,31.09607142857143
B: SOP + vol-managed,28,2010-06-30,2022-11-30,0.13886787750989193,0.1844222746268786,0.7677017403903679,0.3544754412445563,-0.1140110119702572,0.781315296639186,0.3465271422460961,0.09056393812997734,VIX>25 months,1.0,31.09607142857143
C: VIX-SOP + Markowitz,28,2010-06-30,2022-11-30,0.32357978809144083,0.35128805163718224,0.9610062124989952,0.9234620793232535,-0.18359550000000002,1.5,0.0,0.15248505716542854,VIX>25 months,1.0,31.09607142857143
D: VIX-SOP + vol-managed,28,2010-06-30,2022-11-30,0.1657144514202935,0.19828167670595942,0.8453833034034726,0.430150540056379,-0.11399558214220007,0.8358398105011969,0.3282868712350825,0.10865058388207346,VIX>25 months,1.0,31.09607142857143
Historical mean + Markowitz,28,2010-06-30,2022-11-30,0.2999242673700355,0.3347051626407676,0.9367306658370804,0.8442032648151871,-0.18359550000000002,1.4195003023984116,0.03803518148466279,0.14548727101202047,VIX>25 months,1.0,31.09607142857143
Buy-and-hold equity,28,2010-06-30,2022-11-30,0.22455461225825113,0.23418428977277905,0.9610379937030272,0.604288127827596,-0.12199700000000013,1.0,0.0,0.14279657763542855,VIX>25 months,1.0,31.09607142857143
